beta,0,1,2,3,4,5,6
0,7,7,7,7,7,7,7
30,6.4,6.8,7,7,7,7,7
45,5.8,6.5,6.9,7,7,7,7
60,5.1,6,6.7,7,7,7,7
75,4.2,5.5,6.4,7,7,7,7
90,2.1,4,5.2,6.3,6.9,7,7
